sheet,participant,condition,start_choice,stop_choice,turn_s,start_time_s,outbound_end_s,return_start_s,stop_time_s,outbound_duration_s,return_duration_s,outbound_speed_mps,return_speed_mps,outbound_vertical_mean,outbound_vertical_sd,outbound_vertical_range,outbound_lateral_mean,outbound_lateral_sd,outbound_lateral_range,outbound_ap_mean,outbound_ap_sd,outbound_ap_range,return_vertical_mean,return_vertical_sd,return_vertical_range,return_lateral_mean,return_lateral_sd,return_lateral_range,return_ap_mean,return_ap_sd,return_ap_range
SWEAT_033DTG1,SWEAT-033,DTG1,thresh,turn,9.24,0.01,7.24,11.24,19.24,7.23,8.000000000000002,0.4149377593360995,0.3749999999999999,9.663770091160222,0.8456728786471037,6.147943,-0.5126951574585635,0.5494774252390009,4.129101,1.6278572748618785,0.8454424594882993,6.978946,9.63918429712859,0.56450151625151,4.480025999999999,-0.6228573083645442,0.5212950814967494,4.04997,1.6955291398252184,0.7111171984416026,3.610213
SWEAT_034DTG1,SWEAT-034,DTG1,turn,turn,7.65,0.0,5.65,9.65,15.45,5.65,5.799999999999999,0.5309734513274336,0.517241379310345,9.42685003180212,0.9741426387799016,6.637969999999999,0.2136881890459363,1.0192088877996657,6.704676,2.5567096890459364,1.077803371135987,6.454489000000001,9.41812639310345,1.379473774810483,8.848458,0.0453362896551724,1.3819237908072617,9.393931,2.703732765517241,1.0645747806462302,6.841063
SWEAT_036DTG1,SWEAT-036,DTG1,thresh,turn,10.85,1.7,8.85,12.85,20.85,7.15,8.000000000000002,0.4195804195804196,0.3749999999999999,9.197549455307264,0.9907938580168734,7.832923,0.460229377094972,0.5809130328893269,3.658134,3.431714400837989,0.7162125721218054,4.989419,9.273196209737828,0.8923560661730167,6.382052000000001,0.3949047565543071,0.6075485836350524,3.47901,3.199265280898876,0.619711741656247,3.705644
SWEAT_037DTG1,SWEAT-037,DTG1,thresh,turn,9.65,2.06,7.65,11.65,17.65,5.59,5.999999999999998,0.5366726296958855,0.5000000000000001,9.553048691071428,0.947267585170096,7.55767,0.2320586517857143,0.8031331087926133,5.49409,2.1799273125000003,0.987863124601459,6.881719,9.561247111480863,1.0248795587957804,8.681819999999998,0.1993719700499168,0.8651059829314265,6.370946999999999,2.290107898502496,0.8932316782236402,4.642412
SWEAT_038DTG1,SWEAT-038,DTG1,thresh,turn,13.69,1.35,11.69,15.69,26.69,10.34,10.999999999999998,0.2901353965183752,0.2727272727272727,9.108935449275362,0.7916375386543876,7.19274,0.346529658937198,0.667663975257726,4.942958,3.6386133758454102,0.7576001036886071,3.989103,9.144624290909093,0.6833620767186209,5.175673000000001,0.2173714318181818,0.5923250921024641,4.890876,3.557935094545454,0.6577480865735039,4.942976
SWEAT_039DTG1,SWEAT-039,DTG1,thresh,turn,10.48,1.86,8.48,12.48,19.98,6.62,7.5,0.4531722054380664,0.4,9.20698742684766,0.9190309190170112,6.116283,0.4121441070889894,0.7303878263323801,5.540979,3.4032761146304678,0.752213665984601,4.720415000000001,9.24858353262317,0.8984395757249835,8.199251,0.2850283195739014,0.6808806894408641,5.683623,3.2917759214380826,0.7201150401916794,8.516422
SWEAT_001DTG2,SWEAT-001,DTG2,thresh,turn,8.71,0.28,6.710000000000001,10.71,18.21,6.430000000000001,7.5,0.4665629860031103,0.4,9.21062273447205,0.6481554328799348,4.561575,0.3077680652173913,0.6173350472080474,4.010843,3.325739903726708,0.7385110269659999,4.250303000000001,9.212203520639148,0.6918133348939095,4.497221999999999,0.3403342223701731,0.676164872813662,4.49639,3.3111929174434085,0.736794037527242,4.302001
SWEAT_002DTG2,SWEAT-002,DTG2,turn,turn,17.27,7.77,15.27,19.27,26.77,7.5,7.5,0.4,0.4,9.4096458322237,0.8593010147506521,7.151889000000001,0.0885674074567243,0.5916992466998867,5.03109,2.75752,0.7636465191758733,4.287848,9.444964972037283,0.9147369018780274,7.148431999999999,0.1581454274300932,0.7482015316853515,6.452808,2.6082923422103863,0.8053389189182788,4.778418
SWEAT_003DTG2,SWEAT-003,DTG2,turn,turn,16.18,7.68,14.18,18.18,24.68,6.5,6.5,0.4615384615384615,0.4615384615384615,9.3029249109063,1.0132004198537523,7.843246000000001,0.3757416850998464,0.8954376535440859,7.015253,3.0378060921658987,1.146716218449676,7.682688,9.199584998463903,0.9920343252920322,5.934421,0.4526795437788019,0.9727924322087744,6.963922,3.282186534562212,1.1677392841359393,6.921381
SWEAT_004DTG2,SWEAT-004,DTG2,turn,turn,22.41,12.41,20.41,24.41,32.41,8.0,7.9999999999999964,0.375,0.3750000000000001,9.585855151061171,0.9664082216100988,10.594698,0.2622691672908864,0.7233486504607203,4.099361,1.912968218476904,1.0083699320267272,5.882691,9.513928108614232,0.9007431034459272,6.178359,0.2043430936329588,0.919973740002626,7.132066,2.199864429463171,1.0145551704080762,5.407571
